iTOW,clkB,clkD,tAcc,fAcc
93890000,636658,344,21,968
93891000,637002,344,21,961
93892000,637345,344,20,976
93893000,637689,344,20,969
93894000,638032,344,20,961
93895000,638375,344,19,977
93896000,638718,343,19,969
93897000,639062,344,19,1097
93898000,639405,344,19,1162
93899000,639748,343,19,1143
93900000,640091,343,19,1112
93901000,640434,343,19,1123
93902000,640777,343,18,1023
93903000,641120,343,18,906
93904000,641463,343,18,990
93905000,641805,343,17,911
93906000,642148,343,17,827
93907000,642492,343,17,898
93908000,642835,343,16,702
93909000,643177,343,16,738
93910000,643519,342,16,792
93911000,643861,342,15,834
93912000,644203,342,15,904
93913000,644544,342,15,890
93914000,644885,342,15,814
93915000,645227,342,15,817
93916000,645569,342,14,879
93917000,645912,342,14,916
93918000,646254,342,14,907
93919000,646596,342,14,927
93920000,646939,342,14,925
93921000,647282,343,14,926
93922000,647624,342,14,933
93923000,647966,342,14,939
93924000,648308,342,14,970
93925000,648651,342,14,986
93926000,648993,342,14,983
93927000,649335,342,14,980
93928000,649676,341,14,990
93929000,650017,341,13,934
93930000,650358,340,13,907
93931000,650699,340,13,805
93932000,651039,340,13,827
93933000,651379,339,13,859
93934000,651719,339,13,850
93935000,652059,339,13,783
93936000,652399,338,12,614
93937000,652738,338,12,676
93938000,653077,338,12,644
93939000,653415,337,11,709
93940000,653753,337,11,736
93941000,654092,338,11,790
93942000,654431,338,11,569
93943000,654770,339,11,664
93944000,655109,339,10,537
93945000,655448,339,10,590
93946000,655787,339,10,568
93947000,656127,338,10,534
93948000,656465,338,10,597
93949000,656804,338,10,639
93950000,657142,338,10,626
93951000,657481,338,9,608
93952000,657820,338,9,547
93953000,658158,338,9,550
93954000,658497,338,9,631
93955000,658836,338,9,608
93956000,659175,339,9,542
93957000,659515,339,9,579
93958000,659853,338,9,588
93959000,660191,338,9,627
93960000,660529,338,9,662
93961000,660866,337,9,619
93962000,661204,337,9,702
93963000,661542,337,8,688
93964000,661880,338,8,510
93965000,662218,338,8,575
93966000,662556,337,8,659
93967000,662892,336,8,682
93968000,663228,335,8,570
93969000,663563,335,8,760
93970000,663898,335,8,790
93971000,664235,335,8,801
93972000,664570,335,8,766
93973000,664906,335,8,733
93974000,665240,335,8,728
93975000,665575,334,8,776
93976000,665909,334,8,779
93977000,666243,334,8,811
93978000,666577,334,8,801
93979000,666910,333,8,770
93980000,667244,333,8,685
93981000,667577,333,8,701
93982000,667910,332,8,708
93983000,668242,331,8,746
93984000,668573,331,8,789
93985000,668905,332,8,816
93986000,669237,332,8,794
93987000,669569,332,7,636
93988000,669901,332,7,439
93989000,670234,332,7,465
93990000,670566,332,7,504
93991000,670898,332,6,558
93992000,671230,332,6,519
93993000,671562,332,6,520
93994000,671894,330,6,558
93995000,672227,331,6,506
93996000,672561,332,6,520
93997000,672895,332,5,505
93998000,673230,333,5,472
93999000,673565,334,5,517
94000000,673900,334,5,550
94001000,674235,334,5,526
94002000,674570,333,5,494
94003000,674904,333,4,548
94004000,675238,333,4,501
94005000,675572,333,4,480
94006000,675907,335,4,481
94007000,676241,334,4,484
94008000,676575,334,4,564
94009000,676910,335,4,544
94010000,677245,335,4,507
94011000,677580,334,4,546
94012000,677914,334,4,477
94013000,678247,333,4,401
94014000,678580,333,4,430
94015000,678914,334,4,467
94016000,679248,333,4,506
94017000,679581,334,4,522
94018000,679915,334,4,545
94019000,680249,333,4,534
94020000,680582,334,4,485
94021000,680917,334,4,460
94022000,681250,333,4,457
94023000,681583,333,4,438
94024000,681916,333,4,485
94025000,682249,333,4,514
94026000,682582,333,4,556
94027000,682914,333,4,552
94028000,683247,333,4,577
94029000,683581,334,4,669
94030000,683915,334,4,664
94031000,684249,334,4,695
94032000,684582,334,4,682
94033000,684916,334,4,686
94034000,685250,334,4,674
94035000,685583,333,4,672
94036000,685915,333,4,753
94037000,686248,332,4,664
94038000,686581,332,4,679
94039000,686913,332,4,610
94040000,687245,332,4,561
94041000,687576,331,4,519
94042000,687908,332,4,613
94043000,688241,333,4,477
