version,reserved0,invalidLlh,iTOW,lon,lat,height,hMSL,hAcc,vAcc
0,0,0,93890000,114.180014633,22.305698251,10789.8,12403.2,5972.8,8596.0
0,0,0,93891000,114.180015442,22.30569803,10768.1,12381.5,5789.3,8425.5
0,0,0,93892000,114.180015718,22.305697856,10692.3,12305.7,5629.700000000001,8263.300000000001
0,0,0,93893000,114.180015781,22.305697991,10504.9,12118.3,5476.6,8093.0
0,0,0,93894000,114.180015775,22.305697959,10390.4,12003.7,5343.6,7940.5
0,0,0,93895000,114.180015671,22.305697867,10322.0,11935.3,5232.1,7830.200000000001
0,0,0,93896000,114.180015679,22.305697719,10280.4,11893.8,5114.0,7702.1
0,0,0,93897000,114.180014742,22.305698064,10114.8,11728.2,5100.6,7708.900000000001
0,0,0,93898000,114.180014155,22.305697696,10097.5,11710.9,5067.6,7669.200000000001
0,0,0,93899000,114.180013503,22.30569708,10129.7,11743.1,4992.6,7595.3
0,0,0,93900000,114.180013406,22.30569661,10224.7,11838.1,4920.5,7534.3
0,0,0,93901000,114.180012527,22.305697348,9960.8,11574.2,4868.5,7514.3
0,0,0,93902000,114.180014515,22.305697266,9851.5,11464.8,4790.900000000001,7432.6
0,0,0,93903000,114.18001831,22.305696088,10054.0,11667.3,4668.0,7252.1
0,0,0,93904000,114.180016746,22.305696568,9780.9,11394.3,4572.400000000001,7111.3
0,0,0,93905000,114.180015049,22.30569693,9616.5,11229.8,4470.8,6961.3
0,0,0,93906000,114.180014751,22.305696794,9565.9,11179.3,4353.8,6798.8
0,0,0,93907000,114.18001933,22.305695653,10265.9,11879.3,4280.2,6702.900000000001
0,0,0,93908000,114.180019889,22.305695656,10302.6,11916.0,4169.5,6548.200000000001
0,0,0,93909000,114.180019167,22.305695541,10287.5,11900.9,4074.4,6413.700000000001
0,0,0,93910000,114.180019832,22.305695956,10338.1,11951.5,4003.9,6302.6
0,0,0,93911000,114.180019313,22.305695878,10294.4,11907.8,3941.0,6201.1
0,0,0,93912000,114.1800201,22.3056957,10384.2,11997.5,3897.8,6129.1
0,0,0,93913000,114.180018598,22.305694872,10312.1,11925.4,3838.1,6034.0
0,0,0,93914000,114.180017574,22.305694842,10226.2,11839.5,3768.6,5931.6
0,0,0,93915000,114.180017559,22.305694914,10175.3,11788.6,3708.5,5851.200000000001
0,0,0,93916000,114.180017408,22.30569508,10081.2,11694.6,3663.4,5788.0
0,0,0,93917000,114.180018126,22.305694959,10232.1,11845.5,3637.3,5733.200000000001
0,0,0,93918000,114.180018587,22.30569487,10354.0,11967.4,3615.4,5685.6
0,0,0,93919000,114.18001893,22.305694806,10468.0,12081.3,3598.6,5649.1
0,0,0,93920000,114.180019161,22.305694886,10536.0,12149.3,3580.5,5613.6
0,0,0,93921000,114.180019412,22.305694866,10602.0,12215.3,3564.7,5581.200000000001
0,0,0,93922000,114.180019526,22.305694754,10680.9,12294.3,3550.8,5551.0
0,0,0,93923000,114.180019435,22.305694697,10728.3,12341.6,3539.3,5523.200000000001
0,0,0,93924000,114.180019908,22.305694548,10872.7,12486.1,3532.6,5505.1
0,0,0,93925000,114.180020261,22.305694453,10950.6,12563.9,3530.5,5490.700000000001
0,0,0,93926000,114.180021095,22.305694725,11245.2,12858.5,3525.0,5465.900000000001
0,0,0,93927000,114.180021483,22.305694691,11394.8,13008.1,3505.4,5433.8
0,0,0,93928000,114.180021597,22.305694584,11622.1,13235.5,3493.8,5415.3
0,0,0,93929000,114.18002214,22.305694503,11662.9,13276.2,3467.1,5370.3
0,0,0,93930000,114.180023871,22.305694247,11873.4,13486.7,3441.5,5329.6
0,0,0,93931000,114.180025368,22.305694173,12110.5,13723.8,3401.0,5253.6
0,0,0,93932000,114.180026738,22.305693735,12254.2,13867.5,3367.0,5194.900000000001
0,0,0,93933000,114.180028686,22.305693168,12545.1,14158.4,3345.9,5149.1
0,0,0,93934000,114.18002959,22.305692621,12790.2,14403.4,3329.9,5104.400000000001
0,0,0,93935000,114.180030754,22.305692622,13274.6,14887.9,3278.7,5043.0
0,0,0,93936000,114.180033605,22.305692012,13900.3,15513.6,3191.2,4914.6
0,0,0,93937000,114.180035489,22.305691117,14420.1,16033.4,3107.5,4801.0
0,0,0,93938000,114.180036896,22.305689969,14737.2,16350.5,3033.0,4692.7
0,0,0,93939000,114.180038013,22.305689133,15099.4,16712.7,2976.0,4612.6
0,0,0,93940000,114.180039479,22.305687992,15716.0,17329.2,2935.9,4551.900000000001
0,0,0,93941000,114.180039883,22.305688993,16253.1,17866.4,2906.6,4515.900000000001
0,0,0,93942000,114.180038396,22.305689184,16488.0,18101.3,2855.1,4429.3
0,0,0,93943000,114.180035932,22.305688086,16677.3,18290.6,2801.7,4352.6
0,0,0,93944000,114.180031523,22.305685452,16710.7,18324.0,2752.4,4275.8
0,0,0,93945000,114.180026672,22.305682714,16954.3,18567.6,2711.8,4211.2
0,0,0,93946000,114.180024723,22.305680004,17236.2,18849.5,2673.2,4148.1
0,0,0,93947000,114.180022384,22.305677955,17455.4,19068.7,2635.9,4086.2
0,0,0,93948000,114.180021956,22.305677279,17583.8,19197.1,2606.3,4036.2
0,0,0,93949000,114.180022777,22.305677464,17706.6,19319.9,2580.3,3990.2
0,0,0,93950000,114.180023708,22.305677451,17850.8,19464.1,2552.4,3942.6
0,0,0,93951000,114.180024862,22.305677203,18002.5,19615.8,2519.9,3895.2
0,0,0,93952000,114.180023917,22.30567653,18099.3,19712.6,2491.6,3853.0
0,0,0,93953000,114.180020917,22.305675026,18260.0,19873.3,2465.0,3813.3
0,0,0,93954000,114.180017048,22.305671199,18451.5,20064.8,2440.9,3776.5
0,0,0,93955000,114.180014113,22.305666633,18521.3,20134.7,2416.4,3732.9
0,0,0,93956000,114.180011343,22.305662685,18425.5,20038.8,2394.7,3695.4
0,0,0,93957000,114.180009222,22.305660328,18443.5,20056.8,2375.9,3664.9
0,0,0,93958000,114.180006997,22.305658221,18451.6,20064.9,2358.7,3631.1
0,0,0,93959000,114.180003328,22.305653501,18508.0,20121.3,2341.2,3596.9
0,0,0,93960000,114.18000081,22.305648823,18545.3,20158.6,2327.8,3567.5
0,0,0,93961000,114.180000475,22.305644099,18557.3,20170.6,2314.5,3542.2
0,0,0,93962000,114.180001489,22.305637652,18673.1,20286.4,2300.4,3521.3
0,0,0,93963000,114.180002952,22.305629648,18942.1,20555.4,2278.4,3491.5
0,0,0,93964000,114.180008432,22.305622355,19224.3,20837.6,2250.2,3447.5
0,0,0,93965000,114.180015444,22.305615753,19351.7,20965.0,2229.1,3413.9
0,0,0,93966000,114.180021736,22.305609188,19550.6,21163.9,2213.1,3386.7
0,0,0,93967000,114.180028224,22.305603701,19661.3,21274.5,2199.1,3363.0
0,0,0,93968000,114.180034667,22.305598244,19701.8,21315.0,2179.3,3330.3
0,0,0,93969000,114.180040775,22.305594832,19807.0,21420.1,2167.9,3317.7
0,0,0,93970000,114.180048339,22.305592328,19929.9,21543.0,2162.8,3310.5
0,0,0,93971000,114.180054434,22.305590313,20326.7,21939.8,2150.5,3297.4
0,0,0,93972000,114.180061286,22.305588614,20399.1,22012.2,2134.0,3265.0
0,0,0,93973000,114.180067852,22.305587461,20630.8,22243.9,2111.1,3235.5
0,0,0,93974000,114.180075166,22.305587067,20538.9,22151.9,2094.7,3212.7
0,0,0,93975000,114.180082228,22.305589044,20553.6,22166.6,2095.8,3223.5
0,0,0,93976000,114.180090401,22.305592249,20591.4,22204.4,2103.3,3236.9
0,0,0,93977000,114.180097832,22.30559581,20628.4,22241.4,2107.1,3249.8
0,0,0,93978000,114.180105234,22.30559853,20643.2,22256.1,2111.7,3259.4
0,0,0,93979000,114.180110849,22.305602388,20527.1,22140.1,2091.8,3231.3
0,0,0,93980000,114.180112872,22.305607624,20824.7,22437.6,2034.6,3157.6
0,0,0,93981000,114.180116649,22.30561208,21034.6,22647.5,1998.9,3114.2
0,0,0,93982000,114.180121587,22.305616362,21343.9,22956.8,1964.5,3064.3
0,0,0,93983000,114.180127715,22.30561954,21600.9,23213.8,1940.3,3042.2
0,0,0,93984000,114.18013547,22.305622235,21723.0,23335.9,1939.4,3044.4
0,0,0,93985000,114.180141565,22.305626829,21849.1,23461.9,1946.9,3060.0
0,0,0,93986000,114.180147393,22.305631441,21808.0,23420.8,1946.5,3054.6
0,0,0,93987000,114.180153534,22.305636345,21809.8,23422.6,1906.0,2989.8
0,0,0,93988000,114.180159376,22.305641839,21886.4,23499.2,1826.3,2870.2
0,0,0,93989000,114.18016578,22.305648051,21834.0,23446.8,1757.2,2768.5
0,0,0,93990000,114.180170718,22.305654806,21806.7,23419.5,1706.8,2689.7
0,0,0,93991000,114.180176085,22.305662347,21746.4,23359.2,1674.3,2640.4
0,0,0,93992000,114.180179425,22.305669382,21704.5,23317.3,1630.6,2570.0
0,0,0,93993000,114.180181328,22.305677166,21745.0,23357.8,1594.1,2511.8
0,0,0,93994000,114.18018251,22.305686833,21823.8,23436.6,1567.6,2471.6
0,0,0,93995000,114.180184949,22.305695953,22215.7,23828.5,1524.4,2406.1
0,0,0,93996000,114.180189743,22.305704257,22251.0,23863.8,1468.0,2336.7
0,0,0,93997000,114.180194183,22.305712059,22400.0,24012.7,1408.7,2250.5
0,0,0,93998000,114.18020064,22.30572041,22677.3,24290.1,1347.6,2185.1
0,0,0,93999000,114.180204449,22.305728105,22943.1,24555.8,1295.8,2110.6
0,0,0,94000000,114.180207635,22.305736487,23106.8,24719.5,1273.6,2078.2
0,0,0,94001000,114.180211465,22.305744876,23143.3,24756.1,1230.1,2010.1
0,0,0,94002000,114.180214013,22.305753526,22989.8,24602.5,1186.9,1939.2
0,0,0,94003000,114.180216902,22.305761762,22977.1,24589.8,1169.4,1904.2
0,0,0,94004000,114.180219893,22.305769627,22916.5,24529.3,1150.8,1862.9
0,0,0,94005000,114.180222489,22.305777005,22901.2,24513.9,1130.6,1826.1
0,0,0,94006000,114.180225111,22.305784411,22763.2,24376.0,1112.0,1793.6
0,0,0,94007000,114.180228066,22.305792917,22543.8,24156.5,1096.0,1762.3
0,0,0,94008000,114.180230304,22.30580135,22416.4,24029.1,1089.2,1750.7
0,0,0,94009000,114.180230538,22.305810959,22356.0,23968.7,1085.0,1735.9
0,0,0,94010000,114.180227302,22.305818591,22305.6,23918.4,1075.9,1713.7
0,0,0,94011000,114.180219468,22.305822207,22364.3,23977.1,1074.1,1704.3
0,0,0,94012000,114.180210504,22.305822289,22376.7,23989.5,1063.6,1678.0
0,0,0,94013000,114.180202317,22.305818432,22452.5,24065.4,1041.0,1642.1
0,0,0,94014000,114.180195481,22.305813766,22492.7,24105.6,1018.2,1609.6
0,0,0,94015000,114.180188242,22.305809347,22598.6,24211.5,1003.4,1584.3
0,0,0,94016000,114.180181019,22.305804745,22633.8,24246.7,995.8,1568.6
0,0,0,94017000,114.180174776,22.305798625,22769.0,24381.9,992.0,1560.0
0,0,0,94018000,114.18016797,22.305792537,22754.0,24366.9,992.5,1555.4
0,0,0,94019000,114.180159717,22.30578759,22891.0,24503.9,988.1,1549.4
0,0,0,94020000,114.180152376,22.305782141,22929.8,24542.8,975.0,1531.1
0,0,0,94021000,114.180145612,22.305776317,23128.5,24741.5,964.8,1517.2
0,0,0,94022000,114.180139183,22.305770323,23151.0,24764.0,955.9,1505.2
0,0,0,94023000,114.180132137,22.30576414,23176.0,24789.1,945.4,1487.8
0,0,0,94024000,114.180124146,22.305759375,23209.2,24822.3,935.6,1471.2
0,0,0,94025000,114.180116215,22.305755179,23145.7,24758.8,936.0,1466.5
0,0,0,94026000,114.180110066,22.305749905,23178.2,24791.3,942.1,1472.2
0,0,0,94027000,114.180103168,22.305743636,23108.4,24721.5,951.7,1480.0
0,0,0,94028000,114.180096009,22.305737539,22986.4,24599.5,959.8,1482.4
0,0,0,94029000,114.1800886,22.305731532,22960.6,24573.8,973.3,1493.6
0,0,0,94030000,114.180081241,22.305727103,22940.9,24554.1,989.5,1505.9
0,0,0,94031000,114.180075768,22.305721641,23073.7,24686.9,1010.9,1529.5
0,0,0,94032000,114.180070171,22.305716321,23076.6,24689.8,1030.5,1551.3
0,0,0,94033000,114.180063906,22.305712085,23153.4,24766.7,1048.0,1570.8
0,0,0,94034000,114.180057459,22.305707643,23173.7,24786.9,1063.1,1587.8
0,0,0,94035000,114.180052768,22.305702383,23142.9,24756.1,1077.2,1608.1
0,0,0,94036000,114.180048509,22.305696454,23174.1,24787.3,1098.9,1634.8
0,0,0,94037000,114.180046384,22.305689553,23162.2,24775.4,1111.0,1643.2
0,0,0,94038000,114.180047152,22.305682286,23220.5,24833.7,1116.4,1648.1
0,0,0,94039000,114.180048611,22.305677913,23250.6,24863.8,1109.7,1637.0
0,0,0,94040000,114.180052003,22.305675501,23017.2,24630.4,1098.7,1620.7
0,0,0,94041000,114.180053788,22.30567367,22581.5,24194.7,1077.1,1601.6
0,0,0,94042000,114.180054095,22.305672705,22443.1,24056.3,1085.6,1617.0
0,0,0,94043000,114.180053818,22.305672242,22535.8,24149.0,1080.8,1601.5
