iTOW,ecefVX,ecefVY,ecefVZ,sAcc
93890000,-1,2,1,30
93891000,-1,1,0,31
93892000,0,-1,0,26
93893000,0,0,0,17
93894000,-1,2,1,33
93895000,-2,3,1,35
93896000,-2,3,1,34
93897000,6,-3,-1,40
93898000,3,3,-3,30
93899000,-6,10,-2,37
93900000,-16,11,2,40
93901000,-2,-7,7,21
93902000,-2,-3,-2,18
93903000,-41,10,-1,29
93904000,30,0,-2,30
93905000,4,2,1,19
93906000,-5,5,-1,28
93907000,-51,25,11,32
93908000,-12,14,1,24
93909000,-5,3,1,26
93910000,-12,4,6,27
93911000,-5,5,1,29
93912000,-12,1,0,30
93913000,-6,11,-1,29
93914000,4,-5,1,28
93915000,3,-7,-7,24
93916000,14,-12,-6,32
93917000,-6,-1,2,29
93918000,1,0,0,31
93919000,8,-5,-1,33
93920000,11,-10,-1,33
93921000,8,-9,-3,33
93922000,-8,5,-1,32
93923000,-7,9,1,33
93924000,2,1,1,23
93925000,0,-2,-1,27
93926000,-16,13,15,33
93927000,3,12,-2,27
93928000,-11,19,9,34
93929000,-5,4,-4,27
93930000,-11,7,0,33
93931000,-5,9,4,28
93932000,-7,2,-5,22
93933000,-7,3,-1,29
93934000,-9,13,1,30
93935000,1,16,16,20
93936000,-15,19,2,23
93937000,-5,13,6,24
93938000,-2,8,-7,17
93939000,-7,20,4,26
93940000,-11,28,5,28
93941000,14,14,29,18
93942000,22,9,3,12
93943000,25,20,-2,13
93944000,44,28,-29,9
93945000,49,39,-19,10
93946000,16,24,-21,11
93947000,32,24,-14,10
93948000,4,-1,1,18
93949000,0,2,5,13
93950000,1,-1,1,20
93951000,0,-6,0,19
93952000,23,10,-8,10
93953000,35,24,-13,9
93954000,38,38,-42,10
93955000,25,20,-46,9
93956000,47,-5,-44,12
93957000,20,9,-17,8
93958000,22,25,-26,10
93959000,36,37,-55,10
93960000,15,24,-44,11
93961000,-7,15,-48,10
93962000,-21,24,-67,13
93963000,-26,36,-78,13
93964000,-78,1,-62,11
93965000,-78,-2,-64,15
93966000,-77,15,-56,18
93967000,-74,-4,-49,18
93968000,-74,-4,-55,14
93969000,-63,-13,-22,21
93970000,-85,-21,-24,21
93971000,-79,-28,-12,20
93972000,-88,-31,-17,18
93973000,-94,-28,-9,18
93974000,-81,-31,-5,17
93975000,-69,-32,31,20
93976000,-84,-48,34,20
93977000,-74,-41,33,20
93978000,-75,-48,19,20
93979000,-77,-36,23,17
93980000,-59,-33,40,12
93981000,-68,-42,39,14
93982000,-85,-34,39,15
93983000,-84,-26,22,18
93984000,-71,-46,31,19
93985000,-48,-41,51,16
93986000,-56,-53,39,17
93987000,-63,-53,49,14
93988000,-75,-55,45,10
93989000,-61,-59,55,11
93990000,-40,-51,66,11
93991000,-44,-58,77,12
93992000,-21,-42,65,11
93993000,-13,-43,80,10
93994000,4,-22,98,10
93995000,13,-55,95,10
93996000,11,-54,82,11
93997000,-4,-44,77,10
93998000,10,-50,81,9
93999000,18,-54,88,10
94000000,10,-47,88,11
94001000,6,-46,93,10
94002000,18,-50,95,9
94003000,0,-54,82,11
94004000,0,-46,85,9
94005000,0,-43,77,9
94006000,5,-65,74,11
94007000,-1,-57,89,10
94008000,2,-60,85,12
94009000,29,-48,104,10
94010000,57,-3,70,8
94011000,90,34,31,11
94012000,86,44,-4,10
94013000,61,56,-41,8
94014000,53,40,-40,9
94015000,62,55,-36,10
94016000,61,52,-42,11
94017000,41,57,-58,11
94018000,59,54,-57,11
94019000,71,67,-36,12
94020000,58,53,-53,8
94021000,48,66,-46,9
94022000,52,55,-62,8
94023000,59,58,-56,8
94024000,74,53,-41,9
94025000,71,46,-42,9
94026000,39,49,-52,10
94027000,65,47,-69,9
94028000,66,37,-64,9
94029000,67,48,-64,10
94030000,71,42,-40,10
94031000,32,53,-57,13
94032000,49,48,-52,10
94033000,58,48,-34,10
94034000,57,47,-45,10
94035000,23,52,-56,12
94036000,29,53,-59,13
94037000,2,36,-68,12
94038000,-19,15,-65,11
94039000,-14,5,-33,10
94040000,-33,-31,-31,10
94041000,3,-32,-40,15
94042000,14,-16,-8,23
94043000,9,1,-4,9
